ID,Sunday,Saturday,Item Quantity
1,,Night (after 7pm),0
2,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1
3,Daytime (11am - 3pm);Evening (4pm - 7pm),,0
4,,Morning (until 11am),1
5,Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),1
6,,Morning (until 11am),0
7,Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),1
8,Night (after 7pm),,0
9,Daytime (11am - 3pm);Evening (4pm - 7pm),,1
10,Morning (until 11am),,1
11,,Daytime (11am - 3pm);Evening (4pm - 7pm),1
12,,Morning (until 11am),1
13,Daytime (11am - 3pm);Night (after 7pm),Daytime (11am - 3pm),1
14,Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),0
15,Morning (until 11am),Morning (until 11am),1
16,Daytime (11am - 3pm),Daytime (11am - 3pm),0
18,,Morning (until 11am),1
19,Night (after 7pm),Night (after 7pm),0
20,Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm),0
22,Morning (until 11am),,1
23,Night (after 7pm),Night (after 7pm),1
24,Daytime (11am - 3pm),,0
25,Morning (until 11am);Night (after 7pm),Morning (until 11am),1
26,Evening (4pm - 7pm),Evening (4pm - 7pm),1
27,,Night (after 7pm),0
28,Daytime (11am - 3pm),Daytime (11am - 3pm),1
29,Morning (until 11am),Morning (until 11am),1
30,Evening (4pm - 7pm),Evening (4pm - 7pm),1
31,Daytime (11am - 3pm),,0
32,Evening (4pm - 7pm),,0
33,Morning (until 11am),,1
34,Morning (until 11am),Morning (until 11am),0
35,Night (after 7pm),,1
36,,Evening (4pm - 7pm);Night (after 7pm),0
38,Morning (until 11am),Morning (until 11am),1
39,Daytime (11am - 3pm),Daytime (11am - 3pm),1
40,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1
41,,Night (after 7pm),0
42,Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm),Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm),1
43,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1
44,Evening (4pm - 7pm),Evening (4pm - 7pm),1
45,Morning (until 11am);Evening (4pm - 7pm),Morning (until 11am),1
46,,Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),1
47,Evening (4pm - 7pm),,1
48,,Morning (until 11am);Evening (4pm - 7pm),1
49,Evening (4pm - 7pm),Evening (4pm - 7pm),1
50,Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1
51,Evening (4pm - 7pm),Daytime (11am - 3pm),1
52,,Daytime (11am - 3pm),1
53,Morning (until 11am),Night (after 7pm),1
54,Evening (4pm - 7pm),,1
55,Evening (4pm - 7pm),Evening (4pm - 7pm),1
56,Morning (until 11am);Night (after 7pm),Morning (until 11am);Night (after 7pm),0
57,Night (after 7pm),Night (after 7pm),1
58,Morning (until 11am),,0
59,,Daytime (11am - 3pm);Evening (4pm - 7pm),1
60,,Daytime (11am - 3pm);Evening (4pm - 7pm),1
61,Evening (4pm - 7pm),Daytime (11am - 3pm),1
62,Daytime (11am - 3pm);Evening (4pm - 7pm),,1
63,Evening (4pm - 7pm),Evening (4pm - 7pm),1
64,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),0
65,Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm),Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm),1
66,Night (after 7pm),Night (after 7pm),0
67,Evening (4pm - 7pm),,0
68,Morning (until 11am);Daytime (11am - 3pm),Morning (until 11am);Daytime (11am - 3pm),1
69,Evening (4pm - 7pm),Morning (until 11am);Evening (4pm - 7pm),1
70,,Daytime (11am - 3pm),1
71,,Daytime (11am - 3pm),0
72,Night (after 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1
73,Daytime (11am - 3pm),Daytime (11am - 3pm),1
75,Daytime (11am - 3pm);Night (after 7pm),Evening (4pm - 7pm);Night (after 7pm),1
76,Daytime (11am - 3pm),Evening (4pm - 7pm),1
77,,Daytime (11am - 3pm);Night (after 7pm),1
78,Evening (4pm - 7pm),,0
79,,Night (after 7pm),1
81,,Daytime (11am - 3pm),1
82,Daytime (11am - 3pm),Night (after 7pm),0
83,Daytime (11am - 3pm),Daytime (11am - 3pm),1
84,Morning (until 11am),Evening (4pm - 7pm),1
85,Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1
86,Daytime (11am - 3pm),Daytime (11am - 3pm),1
87,Evening (4pm - 7pm),Evening (4pm - 7pm),0
88,,Evening (4pm - 7pm),1
89,,Evening (4pm - 7pm);Night (after 7pm),0
91,Daytime (11am - 3pm),,1
93,Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm),1
94,Night (after 7pm),Evening (4pm - 7pm);Night (after 7pm),0
95,Evening (4pm - 7pm),,1
96,Daytime (11am - 3pm),Daytime (11am - 3pm),1
97,,Evening (4pm - 7pm),0
98,,Daytime (11am - 3pm),0
99,,Evening (4pm - 7pm),0
100,,Evening (4pm - 7pm),1
102,Evening (4pm - 7pm),Evening (4pm - 7pm),1
104,Evening (4pm - 7pm),Morning (until 11am),1
105,,Daytime (11am - 3pm);Night (after 7pm),0
106,Evening (4pm - 7pm),Evening (4pm - 7pm),1
107,,Morning (until 11am),0
108,Morning (until 11am);Daytime (11am - 3pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1
109,Evening (4pm - 7pm);Night (after 7pm),,1
110,Evening (4pm - 7pm),Evening (4pm - 7pm),1
112,Daytime (11am - 3pm),Daytime (11am - 3pm),1
113,Evening (4pm - 7pm),,1
114,Evening (4pm - 7pm),Evening (4pm - 7pm),1
115,Evening (4pm - 7pm),Morning (until 11am),1
116,Evening (4pm - 7pm),,0
117,,Evening (4pm - 7pm),0
118,,Evening (4pm - 7pm),1
119,Evening (4pm - 7pm),,1
120,Morning (until 11am);Evening (4pm - 7pm),Morning (until 11am);Evening (4pm - 7pm),1
122,,Evening (4pm - 7pm),1
124,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),0
126,Evening (4pm - 7pm),,0
127,Evening (4pm - 7pm),Evening (4pm - 7pm),0
128,Evening (4pm - 7pm),Evening (4pm - 7pm),0
129,Evening (4pm - 7pm),Morning (until 11am),1
130,Evening (4pm - 7pm),Morning (until 11am),1
131,Morning (until 11am),Evening (4pm - 7pm),0
132,,Morning (until 11am),0
133,Evening (4pm - 7pm),Morning (until 11am),0
134,Morning (until 11am);Evening (4pm - 7pm),Daytime (11am - 3pm),1
135,Evening (4pm - 7pm),Evening (4pm - 7pm),1
136,Evening (4pm - 7pm),Evening (4pm - 7pm),1
137,,Daytime (11am - 3pm),0
138,Morning (until 11am);Evening (4pm - 7pm),Morning (until 11am);Evening (4pm - 7pm),0
139,Daytime (11am - 3pm),Morning (until 11am),1
140,,Morning (until 11am),1
141,Night (after 7pm),Night (after 7pm),1
142,Evening (4pm - 7pm),Morning (until 11am),1
143,Evening (4pm - 7pm);Night (after 7pm),Evening (4pm - 7pm);Night (after 7pm),0
144,Evening (4pm - 7pm);Night (after 7pm),Evening (4pm - 7pm);Night (after 7pm),0
145,Evening (4pm - 7pm),,0
146,Evening (4pm - 7pm),Evening (4pm - 7pm),1
147,Evening (4pm - 7pm),Evening (4pm - 7pm),0
148,Evening (4pm - 7pm),Evening (4pm - 7pm),1
