"Timestamp","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Sunday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Monday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Tuesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Wednesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Thursday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Friday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Saturday]","How far do you travel to purchase day-to-day goods? (Choose all that apply)","What type of stores do you most often visit to purchase day-to-day goods? (Choose all that apply)","What is the quantity of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)","What is the value of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)"
"2018/06/25 11:22:31 AM GMT+5:30","","Night (after 7pm)","","Night (after 7pm)","","","Night (after 7pm)","Less than 1km;More than 5km","Supermarkets;Grocery stores","10 - 20 items","1000 - 2000 rupees"
"2018/06/25 11:38:34 AM GMT+5:30","Daytime (11am - 3pm);Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Daytime (11am - 3pm);Evening (4pm - 7pm)","Between 1km - 5km;More than 5km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/25 11:43:22 AM GMT+5:30","Daytime (11am - 3pm);Evening (4pm - 7pm)","","","","","","","Between 1km - 5km","Supermarkets","10 - 20 items","1000 - 2000 rupees"
"2018/06/25 11:43:53 AM GMT+5:30","","","","","","","Morning (until 11am)","Less than 1km","Supermarkets","5 - 10 items","More than 2000 rupees"
"2018/06/25 11:49:12 AM GMT+5:30","Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm)","Less than 1km;Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 11:53:17 AM GMT+5:30","","","","","","","Morning (until 11am)","Between 1km - 5km","Supermarkets;Grocery stores","10 - 20 items","More than 2000 rupees"
"2018/06/25 11:53:26 AM GMT+5:30","Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm)","Between 1km - 5km","Supermarkets","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 11:53:55 AM GMT+5:30","Night (after 7pm)","","","","","","","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/25 11:54:20 AM GMT+5:30","Daytime (11am - 3pm);Evening (4pm - 7pm)","","","","","","","Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 11:54:20 AM GMT+5:30","Morning (until 11am)","","","Night (after 7pm)","","","","Less than 1km;Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
