ID,Sunday,Saturday,Value of Purchase,Count,Weight,Weighted Spent,Adjusted Weighted Spent
1,,Night (after 7pm),1000 - 2000 rupees,1,3,3,6.901293
2,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
3,Daytime (11am - 3pm);Evening (4pm - 7pm),,1000 - 2000 rupees,1,3,3,6.901293
4,,Morning (until 11am),More than 2000 rupees,1,4,4,7.901293
5,Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),1000 - 2000 rupees,2,3,6,9.901293
6,,Morning (until 11am),More than 2000 rupees,1,4,4,7.901293
7,Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),1000 - 2000 rupees,2,3,6,9.901293
8,Night (after 7pm),,More than 2000 rupees,1,4,4,7.901293
9,Daytime (11am - 3pm);Evening (4pm - 7pm),,1000 - 2000 rupees,1,3,3,6.901293
10,Morning (until 11am),,1000 - 2000 rupees,1,3,3,6.901293
11,,Daytime (11am - 3pm);Evening (4pm - 7pm),1000 - 2000 rupees,1,3,3,6.901293
12,,Morning (until 11am),500 - 1000 rupees,1,2,2,5.901293
13,Daytime (11am - 3pm);Night (after 7pm),Daytime (11am - 3pm),More than 2000 rupees,2,4,8,11.901293
14,Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),More than 2000 rupees,2,4,8,11.901293
15,Morning (until 11am),Morning (until 11am),500 - 1000 rupees,2,2,4,7.901293
16,Daytime (11am - 3pm),Daytime (11am - 3pm),More than 2000 rupees,2,4,8,11.901293
17,,Morning (until 11am),500 - 1000 rupees,1,2,2,5.901293
18,Night (after 7pm),Night (after 7pm),More than 2000 rupees,2,4,8,11.901293
19,Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm),1000 - 2000 rupees,2,3,6,9.901293
20,Morning (until 11am),,1000 - 2000 rupees,1,3,3,6.901293
21,Night (after 7pm),Night (after 7pm),1000 - 2000 rupees,2,3,6,9.901293
22,Daytime (11am - 3pm),,More than 2000 rupees,1,4,4,7.901293
23,Morning (until 11am);Night (after 7pm),Morning (until 11am),500 - 1000 rupees,2,2,4,7.901293
24,Evening (4pm - 7pm),Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
25,,Night (after 7pm),More than 2000 rupees,1,4,4,7.901293
26,Daytime (11am - 3pm),Daytime (11am - 3pm),Less than 500 rupees,2,1,2,5.901293
27,Morning (until 11am),Morning (until 11am),1000 - 2000 rupees,2,3,6,9.901293
28,Evening (4pm - 7pm),Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
29,Daytime (11am - 3pm),,More than 2000 rupees,1,4,4,7.901293
30,Evening (4pm - 7pm),,More than 2000 rupees,1,4,4,7.901293
31,Morning (until 11am),,500 - 1000 rupees,1,2,2,5.901293
32,Morning (until 11am),Morning (until 11am),More than 2000 rupees,2,4,8,11.901293
33,Night (after 7pm),,More than 2000 rupees,1,4,4,7.901293
34,,Evening (4pm - 7pm);Night (after 7pm),More than 2000 rupees,1,4,4,7.901293
35,Morning (until 11am),Morning (until 11am),1000 - 2000 rupees,2,3,6,9.901293
36,Daytime (11am - 3pm),Daytime (11am - 3pm),500 - 1000 rupees,2,2,4,7.901293
37,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
38,,Night (after 7pm),More than 2000 rupees,1,4,4,7.901293
39,Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm),Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
40,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
41,Evening (4pm - 7pm),Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
42,Morning (until 11am);Evening (4pm - 7pm),Morning (until 11am),Less than 500 rupees,2,1,2,5.901293
43,,Morning (until 11am);Evening (4pm - 7pm);Night (after 7pm),1000 - 2000 rupees,1,3,3,6.901293
44,Evening (4pm - 7pm),,500 - 1000 rupees,1,2,2,5.901293
45,,Morning (until 11am);Evening (4pm - 7pm),1000 - 2000 rupees,1,3,3,6.901293
46,Evening (4pm - 7pm),Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
47,Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
